Iteration, Train Error, Test Error
0, 834.5616894981687, 357.5883786856083
1, 836.6492502496785, 358.453920167507
2, 836.3700843951538, 358.29869966348144
3, 838.1597952176063, 358.96469270843147
4, 833.6794865587959, 357.0787936086027
5, 831.9872396754151, 356.3007495692305
6, 829.1883395508299, 355.1465166411583
7, 825.8186740180658, 353.75462022947977
8, 825.7194076906311, 353.7067271672824
9, 825.9539188590456, 353.74915480647644
10, 831.1618138900786, 356.0085765328456
11, 831.0393322035527, 356.0329019414393
12, 831.1611951190932, 356.09062134638435
13, 831.0608765888874, 355.9377236853097
14, 831.110932423773, 355.9423503211257
15, 832.6874691605933, 356.61813241000834
16, 832.7693339432493, 356.6530208815818
17, 832.9500840848056, 356.8683303566009
18, 833.9786835381549, 357.2506040692839
19, 819.2670332827961, 351.2914398768447
20, 818.6330242369278, 350.91036144250234
21, 817.8082095365405, 350.568219205911
22, 817.1166787483164, 350.3510402008922
23, 818.3909621388478, 350.9579383809795
24, 819.7439610580507, 351.5798932466674
25, 820.4391116224173, 352.02802241809377
26, 820.8944579228265, 352.21433526351797
27, 820.6582249069193, 352.14645322248606
28, 820.154934203444, 351.92146388795146
29, 821.0231203003417, 352.2606546427114
30, 812.7586895894223, 348.41686395707177
31, 813.6702757346627, 348.79197144893396
32, 815.926103434163, 349.6557114291349
33, 818.6954252605683, 350.9637445817717
34, 818.2272296466131, 350.7685355777413
35, 819.4717363366652, 351.1795032046515
36, 819.7799377064525, 351.379955870871
37, 819.3992605420717, 351.10690253474036
38, 820.0315184531028, 351.5615078490722
39, 819.104103206301, 351.03956733570055
40, 817.3437323465163, 350.16320137120016
41, 817.0364135337896, 350.02609975788266
42, 816.9432702401807, 349.9721041259536
43, 816.4986264303668, 349.8345427319827
44, 815.6615350474783, 349.39310106840236
45, 816.2957070465795, 349.6699773714563
46, 817.8161417008297, 350.3192103863862
47, 816.9200242662769, 350.0226863954956
48, 815.513278972438, 349.367790325003
49, 815.5640495329649, 349.38316056983206
50, 815.5127528664907, 349.3286778724913
51, 816.0595248202092, 349.62372141426226
52, 814.8280285437444, 349.13270706453284
53, 814.9530571898733, 349.21045883826645
54, 813.7402809880296, 348.6000585195461
55, 812.6865606133542, 348.13961342992525
56, 812.8588494973882, 348.31746544769413
57, 812.3312662989076, 348.02507533448886
58, 812.2207018107738, 347.92752351465754
59, 814.0558431893201, 348.74345193859654
60, 811.727277499809, 347.5768699934869
61, 808.8769656454489, 346.42930753706526
62, 808.7080320756168, 346.3866907876357
63, 809.3425106575639, 346.62116974582
64, 808.3400139682091, 346.16340742327543
65, 807.1433488351772, 345.74364160392867
66, 807.0543545224797, 345.67386797539433
67, 807.0679819337245, 345.6417920196362
68, 806.9249986580771, 345.66833485348087
69, 804.7882280991687, 344.82445272323577
70, 804.7582123399112, 344.7578894785466
71, 804.0912961090222, 344.5691155004649
72, 804.9609328196909, 344.87860748071944
73, 803.0709334775897, 344.1831639231606
74, 803.658754040412, 344.50013013736043
75, 803.1036419010769, 344.09370702701
76, 800.9269134638016, 343.27588974866103
77, 800.4169726893119, 343.08114488074006
78, 799.9969636440097, 342.88666621654374
79, 800.27832072302, 342.9654578099753
80, 798.4780280260061, 342.2907047136947
81, 799.5338373978152, 342.81102669563074
82, 801.4711859059064, 343.50256942902354
83, 797.5819752425621, 341.89101194209917
84, 797.7736272021923, 341.9463302230472
85, 798.2702017194439, 342.1280542681122
86, 797.6985874741805, 341.9790571573078
87, 797.1840804202526, 341.3791092430415
88, 798.3137101533204, 341.94858905299446
89, 795.7293318784489, 340.891216285898
90, 795.8384705132448, 340.9965608583878
91, 795.6496909990667, 340.85437211161985
92, 794.652284255627, 340.37926732011965
93, 793.3836737897626, 339.6853874525801
94, 793.35990865964, 339.8703386422634
