Iteration, Train Error, Test Error
0, 0.16439406247926544, 0.16463458272969167
1, 0.1302953310627563, 0.12816202309603647
2, 0.13255780961074298, 0.1306443698582931
3, 0.14915405356063677, 0.14899838479125366
4, 0.13298772808525178, 0.13187729817742264
5, 0.13673798943859594, 0.13643719525782955
6, 0.17757776580189705, 0.17993743351856767
7, 0.13226953416814968, 0.1324461449105933
8, 0.142131602871776, 0.14190537618971202
9, 0.13713303358909643, 0.1354338421005202
10, 0.13620447934901075, 0.13465942519216953
11, 0.1317448158673959, 0.1306830700085472
12, 0.16129599637200642, 0.16438445298737717
13, 0.1476398741353714, 0.14375141238536154
14, 0.13913545244926262, 0.1375422915088435
15, 0.13325299835821672, 0.13156312440916917
16, 0.12962795242347794, 0.13034743207567318
17, 0.14773491755043547, 0.1504841133259706
18, 0.14303494704208894, 0.14504368337538956
19, 0.12912244263261777, 0.12591388534937434
20, 0.13078907639632684, 0.13041750650107803
21, 0.15152991757178694, 0.14616893376169274
22, 0.1563999355746543, 0.15037139740481734
23, 0.13184422309624758, 0.13106663929869086
24, 0.13609091374466697, 0.13693319633066994
25, 0.13048957280016016, 0.12924479596478397
26, 0.15023401734544675, 0.1508606165736431
27, 0.13263395196617764, 0.1306101916582898
28, 0.1378760615181572, 0.1341287584449337
29, 0.12997628366887135, 0.12815902398300394
30, 0.13230616724166608, 0.13007640917154584
31, 0.1362556657535721, 0.13607554649579115
32, 0.13410681989051348, 0.1291926723622228
33, 0.13228785964692907, 0.1294261650803095
34, 0.1634748491190239, 0.166249412761186
35, 0.15429047161108136, 0.15093148789110802
36, 0.1602560775535235, 0.1656416270808021
37, 0.13976594226992875, 0.13715308822717018
38, 0.13252252732008263, 0.1319961447825925
39, 0.12721814884169852, 0.12845816364061408
40, 0.13781728209933417, 0.13548258090387627
41, 0.17126206520627996, 0.17431575298949153
42, 0.1459673565734754, 0.14145463979995562
43, 0.15794680720166107, 0.15534623710409778
44, 0.12592419202903, 0.12539265059570462
45, 0.16914808253364466, 0.16473091131171705
46, 0.1358864038691654, 0.13904259199532762
47, 0.17620874863707892, 0.18063667128800634
48, 0.13214250914805198, 0.13311610558805434
49, 0.17692418119543582, 0.1820035207145882
50, 0.14229911681594032, 0.140241100864888
51, 0.18797862051402686, 0.19042257101076304
52, 0.147793777692669, 0.1453641115391658
53, 0.13320863401260452, 0.1315866627008942
54, 0.1307819457459055, 0.13082179193778806
55, 0.13847637999079354, 0.13836400709900143
56, 0.1307097454301499, 0.1307230877299898
57, 0.1311747530946146, 0.12970634652419125
58, 0.14783000994520987, 0.14930530176121662
59, 0.13564690368096752, 0.13377476288517287
60, 0.12797308582874906, 0.1263792248273455
61, 0.1451622575142562, 0.1412538636414801
62, 0.1510548929838206, 0.14515662310983218
63, 0.133373369865258, 0.134618871928118
64, 0.14824937353189344, 0.14283292762500324
65, 0.14942318542144575, 0.14899217710947094
66, 0.135712577712142, 0.13520537502183633
67, 0.134684444509882, 0.13374676152658155
68, 0.1409617640780198, 0.13658766898351268
69, 0.13145697014984017, 0.1294491073406245
70, 0.1290348261157347, 0.129158900303546
71, 0.16854613584278808, 0.16497622929348857
72, 0.1298183691583882, 0.1293635128423633
73, 0.13403232515498323, 0.13438468721302346
74, 0.14132014718015154, 0.1388780745511252
75, 0.12645364928685826, 0.12850540201420274
76, 0.1481692473795197, 0.14536761136506401
77, 0.15172836027317832, 0.15476419660394675
78, 0.13133412535606961, 0.12909322845994717
79, 0.13011961746094813, 0.13013051600546302
80, 0.1746319141440022, 0.17429969748731963
81, 0.13163849960110025, 0.1316286993004881
82, 0.16825037461256595, 0.17052227001288822
83, 0.1503415827295168, 0.1489656541621375
84, 0.13249636560239872, 0.13277049616607983
85, 0.1340492701985297, 0.1321197830274773
86, 0.14129972787050854, 0.14287467052327235
87, 0.15761472167913312, 0.1530172245482406
88, 0.1427785175362903, 0.14017914028553402
89, 0.13217483307633243, 0.13189485210753413
90, 0.1307563491539031, 0.13039576568302455
91, 0.13734070093580275, 0.13459923379454947
92, 0.1322742625416828, 0.1319787628591647
93, 0.15520400718802593, 0.15634047959584707
94, 0.13697599383529616, 0.13772969691060608
95, 0.1427484290553988, 0.14504648642264323
96, 0.1355341317185794, 0.13591250216829928
97, 0.13521261408576576, 0.1327282191731434
98, 0.13485260440430843, 0.13634788197450085
99, 0.14623417667951744, 0.14788875498709264
100, 0.13652093660976095, 0.13685659840900213
101, 0.13595793391787506, 0.1375270257501999
102, 0.13676054089437753, 0.13705978163687466
103, 0.1404862937657453, 0.13686675292861317
104, 0.13192506318996283, 0.13238739223915807
105, 0.1468735316656372, 0.14538095081498223
106, 0.17685076725324633, 0.17422065953591725
107, 0.13944285155107067, 0.13795392422243227
108, 0.13123625863540173, 0.13163937153964686
109, 0.13155225546818447, 0.13120013341980924
110, 0.1320796743798985, 0.13244997552226545
111, 0.19201868831849642, 0.1917631956428109
112, 0.1475369942384832, 0.14962077434339416
113, 0.12998610373204061, 0.13091365269503139
114, 0.1340269113786414, 0.1311121431038997
115, 0.13098666982791135, 0.12916922823495022
116, 0.1390397197971026, 0.13649679835017925
117, 0.13528341525562643, 0.1356085653413635
118, 0.15972007245142894, 0.16191799569110132
119, 0.1425749237470023, 0.14022852969257518
120, 0.1478562636780928, 0.1446059227911798
121, 0.13155409626507622, 0.13076634929400893
122, 0.13499749455076843, 0.132126788006621
123, 0.13473758494635155, 0.13187955977699084
124, 0.1349070230946092, 0.13210060820005978
125, 0.13276333130653623, 0.1317089409487425
126, 0.13467644687099414, 0.1319586013340696
127, 0.15814382664192508, 0.1615773845166365
128, 0.14308498844007964, 0.1452319471069686
129, 0.1390675735382837, 0.13759993756098407
130, 0.12923006215474767, 0.1277923870221064
131, 0.16962484602778036, 0.17037669929557334
132, 0.13272375887068275, 0.13081827714465433
133, 0.1432032659139328, 0.13989618150969355
134, 0.15020981944295247, 0.14820640320492778
135, 0.1360176895529201, 0.13646378005880552
136, 0.13077612318594034, 0.13177720651192748
137, 0.13516501609425977, 0.137100354833848
138, 0.13139032237496803, 0.13090760301004628
139, 0.13005193285564126, 0.129167897845575
140, 0.12743357153174112, 0.12886976944694298
141, 0.14218215006546403, 0.14286675524840425
142, 0.1330014986539886, 0.13241950155583118
143, 0.15661818440564665, 0.1566215148873327
144, 0.15416248801978996, 0.15504958530248047
145, 0.12852569586699705, 0.12455333866704205
146, 0.1308753175874927, 0.13030130557214248
147, 0.1334673300696213, 0.13285657611830912
148, 0.1472757511919701, 0.14463082114817538
149, 0.12719179020556337, 0.12584745230328354
150, 0.1478427042855548, 0.14442383511358334
151, 0.14561717886723258, 0.14243338787820262
152, 0.12652891280539336, 0.1269117124742966
